Country,ISO Country code,Continent,Ease of doing business score (0 = lowest performance to 100 = best performance),Economic Growth,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth(annual %),GDP per capita (current US$),GINI index,GNI (current US$),GNI per capita (current LCU),"Government expenditure on education, total (% of government expenditure)","Inflation, GDP deflator (annual %)",Merchandise trade (% of GDP),"Net trade in goods (BoP, current US$)",Rural population (% of total population),Start-up procedures to register a business (number),Tax payments (number),Tax revenue (% of GDP),Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",share of electricity from renewables generation,Surface Area (Km2),Total greenhouse gas emissions (% change from 1990),Adults (ages 15-49) newly infected with HIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",health expenditure % of GDP,health expenditure per person,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Incidence of HIV, all (per 1,000 uninfected population)","Incidence of tuberculosis (per 100,000 people)",Infant Mortality,"Life expectancy at birth, total (years)","Maternal Mortality Per 100,000 Live Births","Mortality caused by road traffic injury (per 100,000 population)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Population,"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Tuberculosis case detection rate (%, all forms)",Tuberculosis treatment success rate (% of new cases),Young people (ages 15-24) newly infected with HIV,% of primary school aged kids out of school,% of seats held by women in national parliaments,Access to electricity (% of population),Education as % of GDP,Happy Planet Index,Human capital index (HCI) (scale 0-1),Human Development Index,"School enrollment, secondary (% gross)",Sustainable Economic Development Assessment (SEDA),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Women Business and the Law Index Score (scale 1-100),Civil Liberties Score,Control Of Corruption,Domestic general government health expenditure (% of GDP),Financial Freedom Score,Government Effectiveness,Government Expenditure (% of GDP),Government Integrity Score,Judicial Effectiveness Score,Military expenditure (% of GDP),Military expenditure (% of general government expenditure),Military Spending as % of GDP,Overall Economic Freedom Score,Political Rights Score,Political Stability & Absence Of Violence,Regulatory Quality,Rule Of Law,UHC service coverage index
Afghanistan,AFG,Asia,44.06497,-2.35,35.89300156,14786861638,-2.35,368.7546142,42.09264137,14910923352,31002.95782,11.34377003,0.524516524,44.70860796,-5100906449,73.686,4,19,7.626141432,53.4107532,13.28299999,0.160976451,39.56691514,56.91080835,100,61.4212266,86.05011125,18.51,1248.361806,47.15,0.828,652860,156.1538085,1300,32.93045135,17.28846373,49.78108487,7.113,3.21,65.8,0.07,0.04,189,60.8,62.575,638,15.9,211.1,13.9,210.053,318.587,45,58,40099462,0.1,22.5,29.8,66,95,500,13.61196954,27,97.69999695,3.21,29.4,0.400284141,0.478,54.82532871,26.30058411,0.21,38.125,9,-1.14,1.08443093,30.90783074,-1.6,26.3,25.795265,3.9,1.78321664,8.598674985,0.017820305,44.69920483,1,-2.53,-1.3,-1.871,37
Albania,ALB,Europe,67.74847,8.54,51.60900116,18255787479,8.54,6492.872012,29,18006189075,662952.3895,13.43000031,5.928013814,61.77219149,-3419884649,37.031,5,35,18.54595166,59.95174948,11.81900024,1.69224832,2309.366503,18.20060252,100,97.79707826,100,40.2,9424.737167,26.9,1,28750,-19.92389571,100,3.023108283,3.035996411,93.94089314,10.785,3.92,929.759051,0.05,0.03,17,2.4,76.989,15,11.7,68,0.2,56.31,114.508,8.8,9.8,2811666,0.1,7.7,3.9,56,89,100,3.84,36,100,3.1,51,0.634250939,0.796,94.28032684,53.1,7.17,91.25,39,-0.56,2.82499456,70,0,30.1,35.6,49.8,1.415635927,4.185888251,0.0142,66.6,28,0.11,0.2,-0.256,62
Algeria,DZA,Africa,48.59758,3.85,35.11399841,1.63E+11,3.85,3690.627878,35.3,1.59E+11,487507.5674,14.46348,15.73674428,44.58906923,-12992250331,25.739,12,27,13.91107421,45.31108911,12.70400047,4.010034523,1368.621519,38.8840107,100,18.54860331,0.322683799,0.16,263.3626761,11.247,0.011,2381741,65.78502652,1600,12.98441128,7.660040042,79.35555043,5.398,6.1,248.2,0.07,0.04,54,11.6,74.453,112,20.9,49.7,1.9,81.699,114.976,19.5,22.7,44177969,0.1,6.2,2.5,79,89,200,0.18,8,99.80413055,6.1,46.5,0.534556448,0.745,88.76387023,45.8,0.95,57.5,22,-0.61,4.05817795,30,-0.6,42.5,30.1,29.7,5.592584071,15.23946779,0.0559,45.8,10,-0.88,-1.2,-0.816,75
Angola,AGO,Africa,41.28838,0.7,69.93699646,67404287260,0.7,1953.533757,42.7,62080347392,1219960.405,6.045360088,33.61859184,67.31916002,11394296845,32.54,8,31,9.644778503,51.88744592,8.529999733,0.779202575,310.0816685,32.38850491,100,27.67608406,53.17492831,54.69,4574.453999,148,0.682,1246700,-18.00826697,13000,59.16227295,9.088287413,31.74944015,7.821,2.42,71.3,0.86,0.52,325,8.8,62.261,241,26.1,118.5,48.8,212.645,313.481,48.3,71.5,34503774,1.6,30.4,20.8,55,53,5300,12.74735564,30,46.89060974,2.42,42.20846578,0.36240539,0.586,52.52421132,28.4,6.94,79.375,20,-0.66,1.04434741,40,-1.1,32.1,20.6,25.3,1.132059821,6.775820097,0.0113,52.6,10,-0.71,-0.7,-0.952,39
Argentina,ARG,South America,58.96151,10.26,53.81499863,4.87E+11,10.26,10636.1202,41.7,4.77E+11,989978.8366,12.5300703,54.15241194,28.96389194,14630807074,7.771,11,9,9.992390084,30.21979989,10.90200043,3.740650291,3074.702071,13.31183395,93.85282467,16.47559596,28.14006912,10.74,6497.73852,292,0.271,2780400,42.67047235,4700,17.59649448,5.709043309,76.69446254,8.509,4.72,946,0.21,0.11,30,9.7,75.892,39,14.1,26.6,0.4,87.621,147.707,7.6,8.6,45808747,0.4,13,3.7,87,46,1700,0.42,45,100,4.72,50,0.602144718,0.842,110.1282196,57.3,9.65,79.375,49,-0.4,5.93055725,60,-0.4,38.5,45.1,57.9,0.565318001,1.504764622,0.0057,50.1,35,-0.11,-0.6,-0.462,73
Armenia,ARM,Asia,74.49401,5.7,41.06600189,13861409969,5.7,4966.513471,31.5,13455052221,2428633.035,10.01000023,6.866740735,60.45561035,-1382153473,36.569,3,15,20.8701039,69.48880754,20.89699936,2.187476318,1976.864492,32.52811834,100,93.84579691,28.33696628,10.34,2431.750385,6.859,0.246,29740,-50.18426544,4512.333956,6.69449891,4.677751175,88.62775132,12.792,2.71,524,0.174739039,0.026705438,27,19.61528532,72.173,26,20,54.8,0.2,85.966,249.284,9.7,10.9,2790974,0.359306749,1,3.5,52,81,1055.847967,10.48,34,100,2.71,54.7,0.578998804,0.759,87.25035858,51.7,5.55,87.5,32,0.07,1.40614879,70,-0.2,25.8,50.8,33.1,4.440121091,16.3153117,0.0444,65.3,23,-0.84,0.1,-0.096,69
Australia,AUS,Oceania,81.21506,1.48,62.38700104,1.55E+12,1.48,60443.10916,30.3,1.54E+12,80090.02931,12.84535027,2.800899836,39.02922251,40510223626,13.638,3,11,23.19743194,44.23343408,5.111999989,15.25361834,10071.39898,8.550324401,24.89358377,3.318350208,13.63784109,10.13,19415.77691,492,0.246,7741220,57.92847163,500,4.941054322,5.944592213,89.11435367,6.3,5.12,5427.5,0.04,0.02,6.5,3,83.2,6,4.9,8.4,0.1,24.97791859,77.91014599,3.1,3.7,25688079,0.1,3.6,2.5,87,90,100,1.46,31,100,4.609708575,43.1,0.770239532,0.951,134.4505157,78.9,10.51,96.875,56,1.74,7.10425138,90,1.5,36,87,95.2,1.978422533,4.632989386,0.0198,77.7,39,0.85,1.8,1.674,87
Austria,AUT,Europe,78.74549,4.48,56.95700073,4.80E+11,4.48,53637.70571,30.5,4.83E+11,45554.21477,10.73365974,1.94340746,87.91710624,3902462830,41.005,8,12,25.41750212,100.2236312,6.301000118,7.293984252,8355.841952,12.47796673,85.05153767,106.7704312,76.49077927,33.77,6193.749493,55,0.839,83879,13.30618653,5687.822381,3.569978616,5.445314629,90.98470507,10.3,5.22,5242.2,1.883548404,1.04543769,5,17.3,81.19268293,5,4.9,15.3,0.1,45.35559135,77.67956263,3,3.6,8955797,3.891823324,1.3,2.5,87,70,2783.245909,0.06,40,100,5.466631092,46.8,0.746739745,0.916,100.3740997,80.3,11.96,96.875,56,1.27,7.6176486,70,1.6,51.8,82.9,94.6,0.802121671,1.481388192,0.008,73.8,37,0.91,1.3,1.788,82
Azerbaijan,AZE,Asia,78.50823,5.6,59.58499908,54622176471,5.6,5387.997975,33.7,53484117647,8968.755394,8.290690422,21.15692887,62.0865044,2511594000,43.224,3,9,12.97127179,72.01786765,6.583000183,3.542397828,2202.393918,19.92866362,100,117.0640878,7.039857421,1.62,809.5342081,8.115,0.123,86600,-27.60623717,500,5.988189042,3.763640552,90.24817112,7.5,2.46,193.1,0.04,0.03,63,38.6,66.868,26,6.7,63.9,1.1,149.378,319.122,17.3,19.4,10137750,0.1,0,2.5,57,82,100,10.46,18,100,2.68,48,0.577767551,0.745,94.09343719,51.1,4.41,78.75,7,-0.83,1.28157103,60,0.2,36.8,28.6,15.9,5.270059006,14.19384729,0.0527,61.6,2,-0.85,-0.1,-0.585,65
Bahamas,BHS,North America,59.87155,13.72,59.3769989,11208600000,13.72,27478.38963,44.02745536,10474400000,25678.46514,11.26228046,1.616956812,33.59920061,-1630695186,16.635,7,20,14.39089669,59.45667302,13.23900032,7.02002416,1417.143469,17.36772049,99.99999999,29.38804035,0,1.14,1730.287697,0.7,0,13880,35.38626796,100,10.71019256,13.85576891,75.43403801,8.076,2.78,2004.6,0.38,0.24,12,4.9,72.677,70,7.7,19.9,0.1,130.8,236.261,10.5,12.3,407906,1.3,3.4,9.157972471,87,68,100,5.716213094,18,100,2.78,46.45744091,0.591904436,0.812,95.66245872,60.4,4.78,81.25,53,1.18,2.98772573,60,0.5,23.8,64.3,78.8,1.742012675,5.194945471,0.017424071,68.7,38,0.88,0.1,0.102,70
